,Car_name,Year,Price,Location,Status,Ratings,Mileage
2898,Hyundai Sonata,2011,"₦ 3,315,000","Victoria Island, Lagos",Foreign Used,5.0,"163,969 km"
2899,Toyota Camry,2009,"₦ 3,315,000","Victoria Island, Lagos",Foreign Used,4.8,"148,256 km"
2900,Lexus RX 350,2008,"₦ 4,855,000","Berger Mkt, Lagos",Foreign Used,4.9,"93,189 km"
2901,Toyota Venza,2011,"₦ 6,815,000","Surulere, Lagos",Foreign Used,4.7,"95,220 km"
2902,Toyota Venza,2012,"₦ 6,615,000","Surulere, Lagos",Foreign Used,4.7,"69,803 km"
2903,Toyota Corolla,2013,"₦ 3,615,000","Ikeja, Lagos",Foreign Used,4.7,"60,411 km"
2904,Mercedes-Benz C 300,2016,"₦ 11,515,000","Ikota, Lekki, Lagos",Foreign Used,4.8,"88,651 km"
2905,Hyundai Sonata,2012,"₦ 5,265,000","Ogba, Lagos",Foreign Used,4.7,"196,580 km"
2906,Toyota Sienna,2011,"₦ 6,215,000","Ikeja, Lagos",Foreign Used,4.7,"96,476 km"
2907,Lexus ES 350,2009,"₦ 4,515,000","Ikeja, Lagos",Foreign Used,4.8,"118,342 km"
2908,Lexus ES 350,2008,"₦ 4,215,000","Ikeja, Lagos",Foreign Used,4.8,"146,300 km"
2909,Toyota Camry,2008,"₦ 3,415,000","Berger Mkt, Lagos",Foreign Used,5.0,"233,060 km"
2910,Lexus RX 350,2011,"₦ 9,015,000","Berger Mkt, Lagos",Foreign Used,5.0,"64,639 km"
2911,Toyota Camry,2006,"₦ 2,615,000","Ipaja, Lagos",Foreign Used,4.7,"98,623 km"
2912,Toyota Camry,2005,"₦ 2,335,000","Ibadan, Oyo",Foreign Used,4.9,"238,760 km"
2913,Toyota Camry,2003,"₦ 2,115,000","Ibadan, Oyo",Foreign Used,5.0,"252,271 km"
2914,Acura MDX,2008,"₦ 4,015,000","Berger Mkt, Lagos",Foreign Used,5.0,"150,013 km"
2915,Ford Edge,2012,"₦ 6,515,000","Berger Mkt, Lagos",Foreign Used,5.0,"145,982 km"
2916,Pontiac Vibe,2006,"₦ 2,515,000","Victoria Island, Lagos",Foreign Used,4.8,"151,889 km"
2917,Hyundai Sonata,2013,"₦ 3,915,000","Ojodu Berger, Lagos",Foreign Used,4.8,"259,279 km"
2918,Toyota Corolla,2007,"₦ 3,215,000","Berger Mkt, Lagos",Foreign Used,5.0,"92,386 km"
2919,Hyundai Veloster,2012,"₦ 3,515,000","Lagos Mainland, Lagos",Foreign Used,4.6,"233,024 km"
2920,Toyota Camry,2016,"₦ 8,015,000","Berger Mkt, Lagos",Foreign Used,5.0,"18,655 km"
2921,Toyota Corolla,2017,"₦ 8,215,000","Berger Mkt, Lagos",Foreign Used,5.0,"79,586 km"
2922,Toyota Corolla,2013,"₦ 4,715,000","Berger Mkt, Lagos",Foreign Used,5.0,"84,448 km"
2923,Toyota Corolla,2016,"₦ 8,515,000","Berger Mkt, Lagos",Foreign Used,5.0,"60,235 km"
2924,Acura MDX,2009,"₦ 4,315,000","Berger Mkt, Lagos",Foreign Used,5.0,"79,903 km"
2925,Acura MDX,2008,"₦ 4,015,000","Berger Mkt, Lagos",Foreign Used,5.0,"101,151 km"
2926,Toyota Camry,2012,"₦ 4,615,000","Berger, Lagos",Foreign Used,5.0,"174,098 km"
2927,Toyota Corolla,2015,"₦ 5,115,000","Abeokuta, Ogun",Foreign Used,4.7,"51,600 km"
2928,Mercedes-Benz C 230,2009,"₦ 4,965,000","Ipaja, Lagos",Foreign Used,4.8,"175,851 km"
2929,Mercedes-Benz C 300,2012,"₦ 7,015,000","Berger Mkt, Lagos",Foreign Used,5.0,"250,826 km"
2930,Mercedes-Benz C 300,2012,"₦ 7,015,000","Berger Mkt, Lagos",Foreign Used,5.0,"109,790 km"
2931,Mercedes-Benz ML 350,2008,"₦ 7,515,000","Berger Mkt, Lagos",Foreign Used,5.0,"78,816 km"
2932,Toyota Camry,2004,"₦ 2,715,000","Berger Mkt, Lagos",Foreign Used,5.0,"98,327 km"
2933,Toyota Camry,2007,"₦ 3,515,000","Berger Mkt, Lagos",Foreign Used,5.0,"130,668 km"
